purchasing_document_|_ebeln,item_|_ebelp,source,plant_|_werks,supplier_|_lifnr,purchasing_doc_type_|_bsart,purch_organization_|_ekorg,purchasing_group_|_ekgrp,document_date_|_bedat,material_|_matnr,material_group_|_matkl,short_text_|_txz01,order_unit_|_meins,order_price_unit_|_bprme,price_unit_|_peinh,net_order_price_|_netpr,quantity_|_menge,amount_|_wrbtr,amtin_loccur_|_dmbtr,currency_|_waers,movement_type_|_bwart,po_history_category_|_bewtp,debitcredit_ind_|_shkzg,posting_date_|_budat,reference_document_|_lfbnr,reference_doc_item_|_lfpos,reason_for_movement_|_grund,deletion_indicator_|_loekz,delivery_completed_|_elikz_ekpo,invoice_value_|_reewr,outline_agreement_|_konnr,terms_of_payment_|_zterm,tax_code_|_mwskz,incoterms_|_inco1,incoterms_part_2_|_inco2,net_weight_|_ntgew,gross_weight_|_brgew,unit_of_weight_|_gewei,volume_|_volum,storage_location,batch_|_charg,grir_clearing_value_in_local_currency_|_arewr,valuation_type_|_bwtar,document_date_|_bldat,planned_deliv_time_|_plifz,gr_processing_time_|_webaz,last_changed_on_|_aedat,vendor_material_no_|_idnlf,purchasing_info_rec_|_infnr,item_category_|_pstyp,entry_date_|_cpudt,time_of_entry_|_cputm,created_by_|_ernam,ekko_data_ingestion_freshness_timestamp_utc,ekpo_data_ingestion_freshness_timestamp_utc,supplier_id,supplier_name,city,region
8002877553,00001,FC1,1385,0000199034,ECPO,NP03,TN1,2018-01-16,,9100--,SNDP AGIL,ST,ST,1,49901.0,,,,,,,,,,,,,X,,,Z210,FU,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2019-06-13,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199034,STE NATIONALE DE DISTRIBUTION DES PETROLES AGIL ENERGY,EL KHADRA,
8002877552,00001,FC1,1385,0000215457,ECPO,NP03,TN1,2018-01-16,,9470--,Facture  AMILLACR FLY+18/0029,ST,ST,1,128406.18,,,,,,,,,,,,,X,,,Z110,FU,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2019-06-13,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000215457,AMILCAR LLD SA,LES BERGES DU LAC,
8002874334,00001,FC1,1474,0000199126,ECPO,NP03,TN1,2018-01-15,,9930--,PRIME DE LIQUIDATION 3TR  2017,ST,ST,1,255561.02,,,,,,,,,,,,,X,,,Z+30,,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2018-01-18,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199126,GRAS SAVOYE TUNISIE,MONTPLAISIR,
8002874184,00001,FC1,1474,0000215001,ECPL,NP03,TN1,2018-01-15,,9655--,PRESTATION GTF 12/2017..,LE,LE,1,46400.0,,,,,,,,,,,,,,,,Z+30,,,,0.0,0.0,,0.0,,,,,,0,0,2018-01-16,,,1,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000215001,WYNSYS,TUNIS,
8002874278,00001,FC1,1474,0000218351,ECPL,NP03,TN1,2018-01-15,,9410--,BRUNCH DE LA NOUVELLE ANNEE 2018,LE,LE,1,10000.0,,,,,,,,,,,,,,,,Z+30,FU,,,0.0,0.0,,0.0,,,,,,0,0,2018-01-18,,,1,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000218351,RESTAURANT DARNA,ELMENZAH,
8002875110,00001,FC1,1385,0000199001,ECPO,NP03,TN1,2018-01-15,,9010--,HP PRODESK 600 G2 SMALL FORM I5-6500 / 4,ST,ST,1,14500.0,,,,,,,,,,,,,X,,,Z110,F2,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2021-10-07,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199001,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,
8002875110,00002,FC1,1385,0000199001,ECPO,NP03,TN1,2018-01-15,,9010--,"TV TELEFUNKEN TV 49""LED TLF E2000 FHD TN",ST,ST,1,10250.0,,,,,,,,,,,,,X,,,Z110,F2,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2021-10-07,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199001,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,
8002875110,00003,FC1,1385,0000199001,ECPO,NP03,TN1,2018-01-15,,9010--,IMP GK42 TT + CAB USB PROMO USB ET RS232,ST,ST,1,10590.0,,,,,,,,,,,,,X,,,Z110,F2,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2021-10-07,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199001,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,
8002872816,00001,FC1,1385,0000199091,ECPO,NP03,TN1,2018-01-13,,9800--,Tableau management control,ST,ST,1,800.0,,,,,,,,,,,,,X,,,Z+60,FU,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2018-01-13,,,0,,,,2024-03-14T12:35:09Z,2024-03-15T10:31:15Z,0000199091,DAR EL FOUNOUN,BEN AROUS,
8002872807,00002,FC1,1385,0000101133,ECPO,NP03,TN1,2018-01-13,,9512--,Frais de port,ST,ST,1,50.0,,,,,,,,,,,,,X,,,Z200,V8,DAP,A DEFINIR DANS LA COMMANDE,0.0,0.0,,0.0,,,,,,0,0,2024-10-28,,,0,,,,2024-03-14T12:35:09Z,2024-10-28T12:57:39Z,0000101133,MANUTAN SA,GONESSE CEDEX,95
