Purchasing Document,Item,Purchasing Group,valuation_type_|_bwtar,document_date_|_bldat,Currency,gr_processing_time_|_webaz,supplier_name,city,grir_clearing_value_in_local_currency_|_arewr,storage_location,Description,vendor_material_no_|_idnlf,order_unit_|_meins,outline_agreement_|_konnr,volume_|_volum,time_of_entry_|_cputm,po_history_category_|_bewtp,Created By,Material,Plant,terms_of_payment_|_zterm,order_price_unit_|_bprme,reference_doc_item_|_lfpos,Document Date,incoterms_|_inco1,item_category_|_pstyp,gross_weight_|_brgew,last_changed_on_|_aedat,region,Net Order Price,reason_for_movement_|_grund,purchasing_info_rec_|_infnr,debitcredit_ind_|_shkzg,Delivery Completed (Item),batch_|_charg,incoterms_part_2_|_inco2,Supplier,planned_deliv_time_|_plifz,net_weight_|_ntgew,invoice_value_|_reewr,reference_document_|_lfbnr,tax_code_|_mwskz,unit_of_weight_|_gewei,ekko_data_ingestion_freshness_timestamp_utc,posting_date_|_budat,Document Type,entry_date_|_cpudt,amtin_loccur_|_dmbtr,source,Quantity,Purch Organization,Material Group,supplier_id,price_unit_|_peinh,Amount,deletion_indicator_|_loekz,Movement Type,ekpo_data_ingestion_freshness_timestamp_utc,total_gr_qty,total_gr_amt,total_ir_qty,total_ir_amt,has_gr,has_ir,has_delivery,status
8002877553,1,TN1,,,,0,STE NATIONALE DE DISTRIBUTION DES PETROLES AGIL ENERGY,EL KHADRA,0.0,,SNDP AGIL,,ST,,0.0,,,,,1385,Z210,ST,,2018-01-16,DAP,0,0.0,2019-06-13,,49901.0,,,,X,,A DEFINIR DANS LA COMMANDE,199034,0,0.0,0.0,,FU,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9100--,199034,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002877552,1,TN1,,,,0,AMILCAR LLD SA,LES BERGES DU LAC,0.0,,Facture  AMILLACR FLY+18/0029,,ST,,0.0,,,,,1385,Z110,ST,,2018-01-16,DAP,0,0.0,2019-06-13,,128406.18,,,,X,,A DEFINIR DANS LA COMMANDE,215457,0,0.0,0.0,,FU,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9470--,215457,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002874334,1,TN1,,,,0,GRAS SAVOYE TUNISIE,MONTPLAISIR,0.0,,PRIME DE LIQUIDATION 3TR  2017,,ST,,0.0,,,,,1474,Z+30,ST,,2018-01-15,DAP,0,0.0,2018-01-18,,255561.02,,,,X,,A DEFINIR DANS LA COMMANDE,199126,0,0.0,0.0,,,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9930--,199126,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002874184,1,TN1,,,,0,WYNSYS,TUNIS,0.0,,PRESTATION GTF 12/2017..,,LE,,0.0,,,,,1474,Z+30,LE,,2018-01-15,,1,0.0,2018-01-16,,46400.0,,,,,,,215001,0,0.0,0.0,,,,2024-03-14T12:35:09Z,,ECPL,,0.0,FC1,0.0,NP03,9655--,215001,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,0,NO_GR_NO_IR
8002874278,1,TN1,,,,0,RESTAURANT DARNA,ELMENZAH,0.0,,BRUNCH DE LA NOUVELLE ANNEE 2018,,LE,,0.0,,,,,1474,Z+30,LE,,2018-01-15,,1,0.0,2018-01-18,,10000.0,,,,,,,218351,0,0.0,0.0,,FU,,2024-03-14T12:35:09Z,,ECPL,,0.0,FC1,0.0,NP03,9410--,218351,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,0,NO_GR_NO_IR
8002875110,1,TN1,,,,0,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,0.0,,HP PRODESK 600 G2 SMALL FORM I5-6500 / 4,,ST,,0.0,,,,,1385,Z110,ST,,2018-01-15,DAP,0,0.0,2021-10-07,,14500.0,,,,X,,A DEFINIR DANS LA COMMANDE,199001,0,0.0,0.0,,F2,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9010--,199001,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002875110,2,TN1,,,,0,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,0.0,,"TV TELEFUNKEN TV 49""LED TLF E2000 FHD TN",,ST,,0.0,,,,,1385,Z110,ST,,2018-01-15,DAP,0,0.0,2021-10-07,,10250.0,,,,X,,A DEFINIR DANS LA COMMANDE,199001,0,0.0,0.0,,F2,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9010--,199001,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002875110,3,TN1,,,,0,SOCIETE ADVANCED E-TECHNOLOGIES,TUNIS,0.0,,IMP GK42 TT + CAB USB PROMO USB ET RS232,,ST,,0.0,,,,,1385,Z110,ST,,2018-01-15,DAP,0,0.0,2021-10-07,,10590.0,,,,X,,A DEFINIR DANS LA COMMANDE,199001,0,0.0,0.0,,F2,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9010--,199001,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002872816,1,TN1,,,,0,DAR EL FOUNOUN,BEN AROUS,0.0,,Tableau management control,,ST,,0.0,,,,,1385,Z+60,ST,,2018-01-13,DAP,0,0.0,2018-01-13,,800.0,,,,X,,A DEFINIR DANS LA COMMANDE,199091,0,0.0,0.0,,FU,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9800--,199091,1,0.0,,,2024-03-15T10:31:15Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
8002872807,2,TN1,,,,0,MANUTAN SA,GONESSE CEDEX,0.0,,Frais de port,,ST,,0.0,,,,,1385,Z200,ST,,2018-01-13,DAP,0,0.0,2024-10-28,95,50.0,,,,X,,A DEFINIR DANS LA COMMANDE,101133,0,0.0,0.0,,V8,,2024-03-14T12:35:09Z,,ECPO,,0.0,FC1,0.0,NP03,9512--,101133,1,0.0,,,2024-10-28T12:57:39Z,0.0,0.0,0.0,0.0,0,0,1,DELIVERED
